Sec	Nsec	OrientX	OrientY	OrientZ	OrientW	AngVelX	AngVelY	AngVelZ	AccX	AccY	AccZ
 1620117999	   38310091	-0.00641	-0.04782	0.66140	0.74848	-0.02341	0.00000	-0.00532	0.60094	-0.68714	9.86351
 1620117999	  142310091	-0.00382	-0.04519	0.66114	0.74888	0.00000	-0.00532	-0.00639	0.62429	-0.64883	9.86950
 1620117999	  248310091	-0.00073	-0.04370	0.66087	0.74922	0.00000	-0.00426	-0.00532	0.64883	-0.63147	9.88506
 1620117999	  353310091	-0.00221	-0.04473	0.66067	0.74933	0.00639	0.00000	-0.00639	0.61830	-0.64584	9.85872
 1620117999	  492310091	0.00844	-0.04755	0.66001	0.74969	0.00958	-0.00426	-0.00426	0.64643	-0.63087	9.89943
 1620117999	  539310091	0.00390	-0.04668	0.66017	0.74965	0.00745	-0.00426	0.00000	0.65362	-0.63805	9.83837
 1620117999	  659310091	-0.00767	-0.04709	0.66050	0.74930	0.00000	0.00000	0.00000	0.64584	-0.65661	9.88566
 1620117999	  742310091	-0.00217	-0.04550	0.66036	0.74956	-0.01596	0.00639	0.00000	0.66200	-0.62668	9.90840
 1620117999	  832310091	-0.00308	-0.04581	0.66030	0.74959	-0.02873	0.01277	0.00000	0.64165	-0.64643	9.90242
 1620117999	  952310091	-0.00877	-0.04522	0.66039	0.74950	-0.01277	0.00745	0.00000	0.58359	-0.69911	9.85753
 1620118000	   44310091	-0.00589	-0.04596	0.66030	0.74957	0.02448	-0.00426	0.00000	0.60873	-0.67457	9.89763
 1620118000	  141310091	-0.00220	-0.04531	0.66028	0.74964	0.02873	-0.00745	0.00000	0.64464	-0.62908	9.86950
 1620118000	  267310091	-0.00270	-0.04616	0.66034	0.74954	0.01064	0.00000	0.00000	0.62608	-0.63686	9.90002
 1620118000	  341310091	-0.00276	-0.04518	0.66039	0.74955	0.00851	0.00000	0.00000	0.63267	-0.64045	9.88147
 1620118000	  510607099	-0.00262	-0.04723	0.66033	0.74948	0.00745	-0.00426	0.00000	0.65721	-0.65601	9.84735
 1620118000	  554607099	-0.00363	-0.04017	0.66058	0.74966	-0.01596	0.00000	0.00000	0.63386	-0.64524	9.85693
 1620118000	  649607099	-0.00354	-0.04639	0.66035	0.74951	-0.01064	0.00000	0.00000	0.64404	-0.66439	9.86830
 1620118000	  766607099	-0.00173	-0.04423	0.66034	0.74965	-0.01064	0.00000	0.00000	0.65481	-0.63207	9.91199
 1620118000	  871607099	-0.00338	-0.04548	0.66032	0.74959	-0.01171	0.00000	0.00000	0.64524	-0.65422	9.90242
 1620118000	  972607099	-0.00783	-0.04375	0.66054	0.74946	0.01383	-0.00639	0.00000	0.60693	-0.68953	9.87369
 1620118001	  300607099	-0.00299	-0.04768	0.66040	0.74939	0.00000	0.00000	0.00000	0.63925	-0.65781	9.85932
 1620118001	  310607099	-0.00339	-0.04674	0.66044	0.74941	0.00000	0.00000	0.00000	0.62130	-0.65242	9.88506
 1620118001	  395607099	-0.00119	-0.04477	0.66058	0.74942	-0.00958	0.00426	0.00532	0.64943	-0.60992	9.85573
 1620118001	  538607099	-0.01137	-0.04791	0.66099	0.74878	-0.02235	0.00639	0.00532	0.61112	-0.66559	9.86830
 1620118001	  617607099	-0.00452	-0.04541	0.66097	0.74901	-0.00639	0.00000	0.00426	0.61950	-0.66798	9.84556
 1620118001	  695607099	-0.00207	-0.04511	0.66103	0.74900	-0.00426	0.00000	0.00639	0.64284	-0.62070	9.89643
 1620118001	  823607099	-0.00565	-0.04648	0.66133	0.74863	0.00000	0.00000	0.00426	0.61770	-0.69192	9.88027
 1620118001	  861607099	-0.00602	-0.04660	0.66142	0.74854	0.01703	-0.00851	0.00532	0.60513	-0.69552	9.84316
 1620118005	   31773899	-0.00492	-0.04661	0.66332	0.74686	0.01171	-0.00639	-0.00426	0.63087	-0.67157	9.89763
 1620118005	  554300971	-0.01322	-0.04899	0.66246	0.74737	-0.00639	0.00000	-0.00532	0.63805	-0.64584	9.84376
 1620118005	  619300971	-0.00713	-0.04705	0.66223	0.74778	0.00000	0.00000	-0.00532	0.63207	-0.65302	9.87309
 1620118005	  704300971	-0.00240	-0.04512	0.66199	0.74814	0.00958	0.00000	-0.00639	0.63626	-0.64284	9.88865
 1620118005	  784300971	-0.00111	-0.04551	0.66174	0.74834	0.00000	0.00000	-0.00532	0.64943	-0.63207	9.85813
 1620118005	  887300971	-0.00261	-0.04587	0.66155	0.74849	-0.00639	0.00532	-0.00532	0.65182	-0.64404	9.89643
 1620118006	   20300971	-0.00412	-0.04347	0.66137	0.74879	0.00000	0.00000	-0.00639	0.63566	-0.64703	9.86531
